id,ffold,age,child.present,district,contact.time.gte.60.min,contact.time.gte.60.max,contact.age.lte.5.min,contact.age.5.to.19.min,contact.age.20.to.64.min,contact.age.gte.65.min,contact.age.lte.5.max,contact.age.5.to.19.max,contact.age.20.to.64.max,contact.age.gte.65.max,location.min,location.max,contact.close.min,contact.close.max,contact.all.total.min,contact.all.total.max,contact.time.gte.10.min,contact.time.gte.30.min,contact.age.lte.19.min,contact.age.lt.65.min,contact.time.gte.10.max,contact.time.gte.30.max,contact.age.lte.19.max,contact.age.lt.65.max,contact.age.ave.min,contact.time.min.min,contact.age.ave.max,contact.time.min.max
S0904821,0,73.08692676,0,NT East,0,0,0,0,6,1,0,0,6,1,2,2,1,1,7,7,2,2,0,6,2,2,0,6,26.42857143,8.571428571,26.42857143,8.571428571
S0904822,0,73.24845996,0,NT East,10,10,0,0,11,1,0,0,11,1,4,4,2,2,12,12,10,10,0,11,10,10,0,11,23.75,50,23.75,50
S0904832,0,54.86105407,0,KLN East,4,4,0,0,9,1,0,0,9,1,7,8,4,4,10,10,5,5,0,9,5,5,0,9,24.5,27,24.5,27
S0904840,1,13.62080767,1,KLN West,17,17,0,16,7,0,0,16,7,0,3,4,9,9,23,23,18,18,16,23,18,18,16,23,10.26086957,45.65217391,10.26086957,45.65217391
S0904841,1,15.85215606,1,KLN West,44,44,0,31,13,0,0,31,13,0,2,3,43,43,44,44,44,44,31,44,44,44,31,44,10.13636364,60,10.13636364,60
S0904842,0,46.40109514,1,KLN West,8,8,0,2,56,0,0,2,56,0,2,4,43,43,58,58,48,18,2,58,48,18,2,58,19.51724138,18.62068966,19.51724138,18.62068966
S0904843,0,46.74606434,1,KLN West,24,24,0,2,22,0,0,2,22,0,2,2,3,3,24,24,24,24,2,24,24,24,2,24,18.83333333,60,18.83333333,60
S0904850,0,41.62354552,0,NT East,5,6,0,1,6,0,0,1,7,0,4,5,5,6,7,8,5,5,1,7,6,6,1,8,18,42.85714286,18.25,45
S0904861,0,17.98767967,1,NT East,24,24,1,22,1,0,1,22,1,0,3,3,24,24,24,24,24,24,23,24,24,24,23,24,6.333333333,60,6.333333333,60
S0904870,0,25.68104038,0,KLN West,2,2,0,0,2,0,0,0,2,0,1,1,0,0,2,2,2,2,0,2,2,2,0,2,20,60,20,60
S0904872,0,54.62833676,0,KLN West,0,0,1,0,7,0,1,0,7,0,3,5,1,1,8,8,2,2,1,8,2,2,1,8,17.5,7.5,17.5,7.5
